Contig	Mar_OO	Apr_OO	May_lateOO	May_EE	May_ME	Jun_Lar
TRINITY_DN19938_c0_g1_i2	0.0	0.0	2.4	1.0	0.0	0.0
TRINITY_DN17219_c0_g1_i6	0.0	0.0	2.4	0.0	1.0	0.0
TRINITY_DN54281_c0_g1_i1	1.0	1.0	2.4	0.0	0.0	0.0
TRINITY_DN4130_c0_g1_i11	0.0	1.6	2.3	0.0	0.0	4.1
TRINITY_DN43270_c0_g1_i3	0.0	0.0	2.3	1.6	0.0	0.0
TRINITY_DN12729_c0_g1_i3	4.0	8.4	2.2	0.0	1.0	0.0
TRINITY_DN34530_c0_g4_i1	16.0	0.0	2.0	0.0	1.0	0.0
TRINITY_DN9349_c2_g2_i3	16.5	0.0	2.0	0.0	5.0	0.0
TRINITY_DN89360_c0_g1_i1	10.0	2.0	2.0	0.0	6.0	4.0
TRINITY_DN35064_c0_g1_i1	2.0	5.0	2.0	0.0	2.0	10.0
TRINITY_DN54106_c0_g1_i1	2.0	1.0	2.0	2.0	0.0	0.0
TRINITY_DN18260_c0_g1_i1	3.0	4.0	2.0	0.0	1.0	4.0
TRINITY_DN42754_c0_g1_i1	9.0	0.0	2.0	0.0	1.0	0.0
TRINITY_DN48551_c0_g1_i1	2.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN29097_c0_g1_i1	1.0	12.0	2.0	0.0	11.0	25.9
TRINITY_DN468_c0_g1_i3	17.6	1.1	2.0	0.0	0.3	25.0
TRINITY_DN37005_c0_g1_i1	3.0	3.0	2.0	3.0	0.0	0.0
TRINITY_DN59971_c0_g1_i1	4.0	1.0	2.0	1.0	1.0	0.0
TRINITY_DN34709_c0_g2_i1	1.3	2.0	2.0	0.0	0.0	0.0
TRINITY_DN56939_c0_g1_i1	0.0	6.0	2.0	0.0	0.0	4.0
TRINITY_DN17141_c0_g1_i1	8.0	10.0	2.0	0.0	0.0	7.0
TRINITY_DN16955_c0_g2_i3	6.0	2.4	2.0	0.0	2.3	0.0
TRINITY_DN119783_c0_g1_i1	2.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN25236_c0_g2_i1	3.0	0.0	2.0	1.0	2.0	0.0
TRINITY_DN55352_c0_g2_i1	3.0	0.0	2.0	0.0	5.0	9.0
TRINITY_DN22696_c0_g1_i2	6.0	0.0	2.0	1.0	1.0	0.0
TRINITY_DN34945_c0_g1_i2	0.0	0.0	2.0	0.0	1.0	0.0
TRINITY_DN24469_c0_g1_i19	3.0	2.0	2.0	0.0	0.0	1.0
TRINITY_DN43416_c0_g1_i1	1.0	7.9	2.0	0.0	7.9	0.0
TRINITY_DN19353_c0_g1_i2	0.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN27087_c0_g3_i2	3.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN124803_c0_g1_i1	0.0	2.0	2.0	0.0	0.0	0.0
TRINITY_DN119249_c0_g1_i1	2.0	2.0	2.0	0.0	0.0	2.0
TRINITY_DN36842_c0_g1_i1	2.0	2.0	2.0	0.0	1.0	0.0
TRINITY_DN20677_c0_g2_i1	1.0	2.0	2.0	2.0	0.0	0.0
TRINITY_DN76365_c0_g1_i1	0.0	1.0	2.0	0.0	0.0	0.0
TRINITY_DN35128_c0_g1_i1	1.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN28083_c0_g1_i2	2.0	2.0	2.0	1.0	1.0	0.0
TRINITY_DN89723_c0_g1_i1	0.0	3.0	2.0	0.0	0.0	0.0
TRINITY_DN38766_c0_g1_i1	0.0	2.0	2.0	0.0	0.0	1.0
TRINITY_DN41507_c0_g3_i1	0.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN4763_c0_g1_i5	7.3	28.0	2.0	0.0	4.5	25.0
TRINITY_DN29097_c1_g1_i1	8.0	3.0	2.0	0.0	2.0	6.0
TRINITY_DN53793_c0_g1_i1	3.0	1.0	2.0	0.0	0.0	0.0
TRINITY_DN33270_c0_g2_i1	0.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN9349_c2_g4_i1	1.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN27399_c1_g3_i1	1.0	3.0	2.0	1.0	1.0	0.0
TRINITY_DN5271_c0_g1_i2	0.5	0.0	2.0	0.0	2.0	1.7
TRINITY_DN5271_c0_g1_i7	0.5	3.0	2.0	0.0	0.0	8.3
TRINITY_DN11848_c0_g1_i5	0.0	0.0	2.0	0.0	0.0	1.0
TRINITY_DN121143_c0_g1_i1	0.0	0.0	2.0	0.0	1.0	1.0
TRINITY_DN124008_c0_g1_i1	0.0	0.0	2.0	0.0	2.0	0.0
TRINITY_DN134656_c0_g1_i1	1.0	1.0	2.0	0.0	0.0	0.0
TRINITY_DN106133_c0_g1_i1	5.0	1.0	2.0	0.0	1.0	0.0
TRINITY_DN106321_c0_g1_i1	0.0	0.0	2.0	0.0	1.0	0.0
TRINITY_DN106378_c0_g1_i1	0.0	0.0	2.0	1.0	1.0	0.0
TRINITY_DN119013_c0_g1_i1	1.0	1.0	2.0	1.0	0.0	0.0
TRINITY_DN107900_c0_g1_i1	0.0	3.0	2.0	1.0	0.0	0.0
TRINITY_DN140351_c0_g1_i1	0.0	1.0	2.0	0.0	0.0	0.0
TRINITY_DN110342_c0_g1_i1	0.0	0.0	2.0	0.0	1.0	0.0
TRINITY_DN138004_c0_g1_i1	0.0	0.0	2.0	3.0	2.0	0.0
TRINITY_DN133659_c0_g1_i1	1.0	0.0	2.0	1.0	0.0	0.0
TRINITY_DN135507_c0_g1_i1	0.0	0.0	2.0	0.0	1.0	0.0
TRINITY_DN42498_c0_g1_i1	0.0	1.0	2.0	0.0	0.0	0.0
TRINITY_DN41658_c0_g2_i1	3.0	1.0	2.0	0.0	0.0	0.0
TRINITY_DN76902_c0_g1_i1	0.0	1.0	2.0	0.0	1.0	0.0
TRINITY_DN25236_c3_g1_i1	0.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN64781_c0_g1_i1	0.0	0.0	2.0	1.0	0.0	0.0
TRINITY_DN41246_c0_g1_i1	0.0	3.0	2.0	0.0	0.0	0.0
TRINITY_DN62375_c0_g1_i1	0.0	0.0	2.0	2.0	0.0	0.0
TRINITY_DN10348_c0_g1_i2	0.0	0.0	2.0	0.0	2.9	0.0
TRINITY_DN10640_c0_g3_i7	0.0	3.1	2.0	2.5	0.0	0.0
TRINITY_DN34709_c1_g1_i1	0.0	2.0	2.0	0.0	0.0	1.0
TRINITY_DN75528_c0_g1_i1	0.0	4.0	2.0	0.0	5.0	0.0
TRINITY_DN43712_c0_g1_i1	0.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN46130_c0_g1_i1	0.0	0.0	2.0	1.0	0.0	0.0
TRINITY_DN65009_c0_g1_i1	0.0	0.0	2.0	1.0	0.0	0.0
TRINITY_DN19616_c0_g1_i14	2.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN78169_c0_g1_i1	0.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN55252_c0_g1_i1	1.0	1.0	2.0	1.0	0.0	0.0
TRINITY_DN34654_c0_g1_i1	0.0	2.0	2.0	0.0	1.0	0.0
TRINITY_DN19214_c0_g1_i2	0.0	0.0	2.0	3.0	0.0	0.0
TRINITY_DN51364_c0_g1_i1	0.0	0.0	2.0	0.0	2.0	0.0
TRINITY_DN91570_c0_g1_i1	0.0	1.0	2.0	0.0	0.0	1.0
TRINITY_DN43147_c0_g1_i1	0.0	0.0	2.0	1.0	0.0	0.0
TRINITY_DN23521_c0_g1_i1	1.0	0.0	2.0	2.0	1.0	0.0
TRINITY_DN33069_c0_g1_i1	0.0	1.0	2.0	0.0	1.0	0.0
TRINITY_DN20597_c0_g1_i1	0.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN75658_c0_g1_i1	0.0	0.0	2.0	1.0	0.0	0.0
TRINITY_DN51639_c0_g1_i1	3.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN9349_c2_g6_i1	6.0	1.0	2.0	2.0	2.0	0.0
TRINITY_DN50134_c0_g1_i1	0.0	1.0	2.0	0.0	0.0	0.0
TRINITY_DN28552_c0_g1_i1	0.0	0.0	2.0	0.0	1.0	0.0
TRINITY_DN90064_c0_g1_i1	0.0	0.0	2.0	1.0	2.0	0.0
TRINITY_DN38176_c0_g2_i1	0.0	2.0	2.0	0.0	0.0	0.0
TRINITY_DN59308_c0_g2_i1	0.0	0.0	2.0	0.0	1.0	0.0
TRINITY_DN52228_c0_g1_i1	1.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN114758_c0_g1_i1	0.0	0.0	2.0	0.0	0.0	1.0
TRINITY_DN28648_c0_g1_i1	0.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN27237_c0_g1_i8	0.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN56249_c0_g1_i1	0.0	5.0	2.0	0.0	0.0	0.0
TRINITY_DN37643_c0_g1_i2	0.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN63792_c0_g1_i1	1.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN138594_c0_g1_i1	0.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN24744_c0_g1_i2	0.0	3.0	2.0	0.0	0.0	0.0
TRINITY_DN24469_c0_g1_i8	0.0	0.0	2.0	0.0	0.0	0.0
TRINITY_DN70861_c0_g1_i1	0.0	1.0	2.0	0.0	0.0	0.0
TRINITY_DN50347_c0_g1_i22	0.0	2.0	2.0	0.0	0.0	9.0
TRINITY_DN15885_c0_g1_i12	0.0	0.0	1.8	0.0	3.6	0.0
TRINITY_DN9622_c0_g2_i2	0.0	1.9	1.8	0.0	1.0	1.9
TRINITY_DN34530_c0_g2_i2	5.7	3.0	1.8	1.6	0.0	0.0
TRINITY_DN14592_c3_g1_i1	0.0	0.0	1.8	0.0	0.0	0.0
TRINITY_DN23130_c0_g1_i4	1.9	2.1	1.7	0.0	0.0	0.0
TRINITY_DN16294_c0_g1_i1	0.0	0.0	1.6	0.0	0.0	0.0
TRINITY_DN54281_c1_g1_i3	0.0	0.0	1.3	1.3	1.0	0.0
TRINITY_DN27502_c0_g1_i4	3.0	0.0	1.3	1.9	1.0	0.0
TRINITY_DN14592_c3_g1_i2	2.0	0.0	1.2	0.0	2.0	0.0
TRINITY_DN9622_c0_g2_i4	0.0	5.1	1.2	0.0	0.0	0.1
TRINITY_DN7727_c0_g1_i95	7.5	0.0	1.2	0.0	1.1	3.3
TRINITY_DN22827_c0_g2_i1	7.0	3.7	1.1	0.0	4.8	12.8
TRINITY_DN6523_c0_g1_i30	3.3	0.0	1.1	0.0	0.0	0.0
TRINITY_DN30735_c0_g1_i1	18.0	3.0	1.0	0.0	0.0	0.0
TRINITY_DN37124_c0_g3_i1	17.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN27087_c0_g2_i1	10.0	2.0	1.0	0.0	0.0	0.0
TRINITY_DN49200_c0_g1_i1	13.0	3.0	1.0	0.0	0.0	0.0
TRINITY_DN43529_c0_g2_i1	2.0	7.0	1.0	0.0	6.0	2.0
TRINITY_DN33095_c0_g1_i1	20.0	3.0	1.0	0.0	4.0	0.0
TRINITY_DN42229_c0_g3_i1	8.0	0.0	1.0	8.0	1.0	0.0
TRINITY_DN36625_c0_g3_i2	16.0	1.0	1.0	3.0	0.0	0.0
TRINITY_DN76154_c0_g1_i1	5.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN8077_c0_g1_i3	6.0	2.0	1.0	0.0	0.0	0.0
TRINITY_DN20619_c0_g1_i2	6.1	0.0	1.0	0.0	2.0	0.0
TRINITY_DN19446_c3_g1_i1	5.0	5.0	1.0	0.0	0.0	0.0
TRINITY_DN49216_c0_g1_i1	2.0	0.0	1.0	1.0	0.0	0.0
TRINITY_DN10644_c0_g2_i1	5.0	4.0	1.0	0.0	0.4	1.0
TRINITY_DN34709_c0_g4_i2	3.0	2.0	1.0	1.0	1.0	0.0
TRINITY_DN119076_c0_g1_i1	3.0	0.0	1.0	0.0	0.0	1.0
TRINITY_DN49226_c0_g1_i1	0.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN30735_c1_g2_i1	2.0	1.0	1.0	0.0	0.0	4.0
TRINITY_DN75268_c0_g1_i1	2.0	2.0	1.0	0.0	9.0	3.0
TRINITY_DN63186_c0_g1_i1	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN16835_c0_g1_i1	3.0	10.0	1.0	0.0	0.0	3.0
TRINITY_DN57859_c0_g1_i1	1.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN91878_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN17910_c0_g1_i4	2.7	0.0	1.0	0.0	0.0	4.5
TRINITY_DN30130_c0_g1_i29	5.2	1.2	1.0	0.0	0.0	2.0
TRINITY_DN119429_c0_g1_i1	0.0	4.0	1.0	0.0	0.0	0.0
TRINITY_DN119160_c0_g1_i1	6.0	0.0	1.0	1.0	3.0	0.0
TRINITY_DN49268_c0_g1_i1	2.0	3.0	1.0	0.0	1.0	0.0
TRINITY_DN45285_c0_g1_i1	2.0	1.0	1.0	0.0	0.0	2.5
TRINITY_DN62011_c0_g1_i1	1.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN20619_c2_g1_i1	1.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN15119_c0_g1_i1	3.0	8.0	1.0	1.0	1.0	2.0
TRINITY_DN50685_c0_g1_i2	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN79833_c0_g1_i1	5.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN32274_c0_g1_i1	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN53679_c0_g1_i1	4.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN12535_c0_g1_i1	1.0	1.7	1.0	0.0	0.0	0.0
TRINITY_DN120537_c0_g1_i1	3.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN134275_c0_g1_i1	2.0	2.0	1.0	0.0	0.0	2.0
TRINITY_DN139864_c0_g1_i1	4.0	2.0	1.0	0.0	0.0	2.0
TRINITY_DN54749_c0_g2_i1	3.0	1.0	1.0	1.0	0.0	0.0
TRINITY_DN36847_c0_g1_i1	4.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN36883_c0_g1_i1	3.0	2.0	1.0	0.0	1.0	2.0
TRINITY_DN9994_c0_g1_i1	11.0	10.0	1.0	0.0	4.0	20.0
TRINITY_DN38196_c0_g1_i1	4.0	2.0	1.0	0.0	0.0	8.0
TRINITY_DN28861_c0_g1_i2	1.0	0.0	1.0	0.0	1.0	1.0
TRINITY_DN42753_c0_g1_i1	4.0	5.0	1.0	0.0	2.0	6.0
TRINITY_DN38225_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN90734_c0_g1_i1	2.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN23184_c0_g2_i1	2.0	1.0	1.0	0.0	1.0	0.0
TRINITY_DN89449_c0_g1_i1	0.0	6.0	1.0	0.0	5.0	0.0
TRINITY_DN61052_c0_g1_i1	4.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN35353_c0_g2_i1	1.0	0.0	1.0	0.0	1.0	6.0
TRINITY_DN25365_c0_g1_i1	1.0	3.0	1.0	0.0	2.0	4.0
TRINITY_DN20973_c0_g1_i1	3.0	0.0	1.0	0.0	2.0	2.0
TRINITY_DN59192_c0_g1_i1	2.0	3.0	1.0	0.0	0.0	4.0
TRINITY_DN27127_c0_g1_i1	1.0	0.0	1.0	1.0	0.0	0.0
TRINITY_DN77244_c0_g1_i1	1.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN67480_c0_g1_i1	1.0	0.0	1.0	2.0	0.0	0.0
TRINITY_DN30851_c0_g1_i1	2.0	6.0	1.0	1.0	0.0	0.0
TRINITY_DN77345_c0_g1_i1	3.0	0.0	1.0	0.0	1.0	2.0
TRINITY_DN24469_c0_g1_i17	5.0	2.0	1.0	0.0	0.0	0.0
TRINITY_DN19271_c0_g1_i1	3.0	0.5	1.0	0.0	0.0	0.0
TRINITY_DN111413_c0_g1_i1	2.0	2.0	1.0	0.0	0.0	0.0
TRINITY_DN134456_c0_g1_i1	0.0	0.0	1.0	1.0	0.0	0.0
TRINITY_DN112380_c0_g1_i1	2.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN106776_c0_g1_i1	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN133263_c0_g1_i1	0.0	1.0	1.0	0.0	1.0	0.0
TRINITY_DN123214_c0_g1_i1	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN125867_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN118155_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN139703_c0_g1_i1	0.0	4.0	1.0	0.0	0.0	0.0
TRINITY_DN138225_c0_g1_i1	2.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN59087_c1_g1_i1	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN41180_c0_g1_i1	0.0	1.0	1.0	1.0	2.0	0.0
TRINITY_DN37100_c0_g1_i1	2.0	1.0	1.0	0.0	0.0	5.0
TRINITY_DN41645_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN66785_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN61500_c0_g1_i1	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN90082_c0_g1_i1	3.0	1.0	1.0	1.0	0.0	0.0
TRINITY_DN41352_c0_g2_i1	5.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN41372_c0_g2_i1	2.0	0.0	1.0	1.0	0.0	0.0
TRINITY_DN20661_c1_g1_i1	0.0	0.0	1.0	0.0	2.0	0.0
TRINITY_DN42353_c0_g2_i1	0.0	0.0	1.0	1.0	0.0	0.0
TRINITY_DN74968_c0_g1_i1	2.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN80408_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN45190_c0_g1_i1	2.0	1.0	1.0	0.0	0.0	1.0
TRINITY_DN91059_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN59357_c0_g1_i1	0.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN19214_c0_g1_i3	0.0	0.0	1.0	1.0	2.0	0.0
TRINITY_DN18309_c0_g3_i2	1.0	0.0	1.0	1.0	0.0	0.0
TRINITY_DN29097_c2_g2_i1	2.0	7.0	1.0	0.0	2.0	5.0
TRINITY_DN92839_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN65862_c0_g1_i1	0.0	0.0	1.0	1.0	0.0	0.0
TRINITY_DN49891_c0_g1_i1	2.0	1.0	1.0	2.0	1.0	0.0
TRINITY_DN51611_c0_g1_i1	0.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN30851_c0_g3_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN64423_c0_g1_i1	0.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN9615_c0_g4_i1	1.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN8077_c1_g3_i1	3.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN8077_c2_g2_i1	0.0	0.0	1.0	1.0	1.0	0.0
TRINITY_DN95921_c0_g1_i1	4.0	1.0	1.0	2.0	0.0	0.0
TRINITY_DN49682_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN46355_c0_g1_i1	2.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN20421_c0_g1_i2	1.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN119527_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN3102_c0_g1_i12	1.0	0.0	1.0	0.0	0.0	5.0
TRINITY_DN16040_c0_g1_i2	1.0	5.0	1.0	0.0	2.0	1.0
TRINITY_DN142808_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN74787_c0_g1_i1	1.0	1.0	1.0	0.0	0.0	1.0
TRINITY_DN36456_c0_g1_i6	0.0	1.5	1.0	0.0	0.0	7.5
TRINITY_DN46242_c1_g1_i1	0.0	0.0	1.0	0.0	0.0	1.0
TRINITY_DN56825_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN58994_c0_g1_i1	0.0	1.0	1.0	0.0	0.0	1.0
TRINITY_DN27257_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN12082_c1_g1_i1	1.0	2.0	1.0	0.0	1.0	0.0
TRINITY_DN104284_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	1.0
TRINITY_DN130544_c0_g1_i1	0.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN110430_c0_g1_i1	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN138408_c0_g1_i1	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN134894_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN118515_c0_g1_i1	0.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN136286_c0_g1_i1	1.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN105661_c0_g1_i1	0.0	0.0	1.0	0.0	2.0	0.0
TRINITY_DN106790_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN134587_c0_g1_i1	0.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN119885_c0_g1_i1	0.0	0.0	1.0	1.0	0.0	0.0
TRINITY_DN143215_c0_g1_i1	0.0	0.0	1.0	1.0	0.0	0.0
TRINITY_DN104880_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN125878_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN108119_c0_g1_i1	2.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN137193_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN121238_c0_g1_i1	2.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN110660_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN120829_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN132855_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN132861_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN104723_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN123586_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN27437_c0_g1_i2	5.5	0.0	1.0	0.0	0.0	3.1
TRINITY_DN61105_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN89629_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN91963_c0_g1_i1	0.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN84445_c0_g1_i1	0.0	3.0	1.0	0.0	0.0	0.0
TRINITY_DN66423_c0_g1_i1	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN29758_c0_g1_i1	0.0	4.0	1.0	0.0	4.0	2.0
TRINITY_DN39600_c0_g1_i1	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN76093_c0_g1_i1	1.0	2.0	1.0	0.0	1.0	0.0
TRINITY_DN58944_c0_g1_i1	1.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN54281_c2_g2_i1	3.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN39604_c0_g2_i2	2.1	0.0	1.0	0.0	0.0	0.0
TRINITY_DN39630_c0_g1_i1	0.0	0.0	1.0	1.0	0.0	0.0
TRINITY_DN77710_c0_g1_i1	0.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN63093_c0_g1_i1	0.0	1.0	1.0	0.0	1.0	0.0
TRINITY_DN55586_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN66784_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	1.0
TRINITY_DN22119_c0_g1_i19	1.0	1.0	1.0	1.0	0.0	0.0
TRINITY_DN22119_c0_g1_i9	2.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN10855_c0_g1_i4	2.2	18.4	1.0	0.0	0.0	7.4
TRINITY_DN43698_c0_g1_i2	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN49386_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	1.0
TRINITY_DN45073_c0_g1_i2	0.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN45061_c0_g2_i1	0.0	0.0	1.0	0.0	0.0	1.0
TRINITY_DN45047_c0_g1_i1	1.0	0.0	1.0	1.0	1.0	0.0
TRINITY_DN41464_c0_g1_i2	0.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN41351_c0_g1_i1	1.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN65346_c0_g1_i1	4.0	2.0	1.0	0.0	0.0	0.0
TRINITY_DN20641_c1_g1_i1	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN21869_c2_g1_i1	1.0	2.0	1.0	0.0	1.0	4.0
TRINITY_DN40954_c0_g1_i1	0.0	1.0	1.0	1.0	0.0	0.0
TRINITY_DN41260_c0_g1_i1	0.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN41236_c0_g1_i1	1.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN58100_c0_g1_i2	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN38225_c0_g2_i1	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN38225_c0_g4_i5	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN35113_c0_g1_i2	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN28682_c0_g2_i2	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN35205_c0_g1_i2	2.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN51040_c0_g1_i1	2.4	2.0	1.0	0.0	0.0	0.0
TRINITY_DN34530_c1_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN78954_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN38484_c0_g1_i1	0.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN27844_c0_g1_i1	2.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN60140_c0_g2_i1	0.0	2.0	1.0	0.0	1.0	0.0
TRINITY_DN96659_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN37196_c0_g1_i2	1.0	1.0	1.0	0.0	0.0	3.0
TRINITY_DN63575_c0_g1_i1	0.0	0.0	1.0	1.0	2.0	0.0
TRINITY_DN62418_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN50636_c0_g2_i1	2.0	1.0	1.0	0.0	0.0	0.0
TRINITY_DN35456_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN22853_c0_g1_i1	0.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN59308_c0_g1_i2	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN31954_c0_g1_i1	3.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN95270_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	1.0
TRINITY_DN57994_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN77020_c0_g1_i1	0.0	0.0	1.0	0.0	0.0	0.0
