Contig	Mar_OO	Apr_OO	May_lateOO	May_EE	May_ME	Jun_Lar
TRINITY_DN1611_c0_g1_i7	0.0	23.9	16.6	0.0	0.0	8.1
TRINITY_DN1611_c0_g1_i24	39.9	0.0	16.1	0.0	38.5	0.0
TRINITY_DN468_c0_g1_i7	118.9	60.1	16.0	0.0	13.4	93.8
TRINITY_DN18098_c1_g1_i1	0.0	1.0	16.0	5.0	2.0	0.0
TRINITY_DN4439_c0_g2_i5	17.7	8.0	15.4	0.0	4.7	17.7
TRINITY_DN9340_c0_g1_i1	16.0	17.1	15.0	0.0	6.0	27.8
TRINITY_DN18098_c1_g2_i2	2.0	2.0	15.0	0.0	5.0	0.0
TRINITY_DN16460_c0_g1_i6	14.0	7.3	15.0	1.5	0.0	0.0
TRINITY_DN13688_c0_g1_i6	0.0	0.0	15.0	0.0	0.0	1.0
TRINITY_DN468_c0_g1_i8	146.5	127.4	14.8	0.0	15.1	70.8
TRINITY_DN468_c0_g1_i6	260.5	115.0	14.5	0.0	12.2	188.0
TRINITY_DN35078_c1_g1_i1	3.0	1.3	14.4	2.0	1.2	0.0
TRINITY_DN22480_c1_g2_i2	0.0	0.0	13.6	0.0	0.0	0.0
TRINITY_DN24042_c0_g1_i32	17.5	0.5	13.4	0.0	9.6	0.0
TRINITY_DN118163_c0_g1_i1	2.0	3.0	13.0	1.0	2.0	0.0
TRINITY_DN1895_c0_g1_i200	49.3	42.2	12.2	0.0	0.0	32.7
TRINITY_DN1445_c3_g1_i11	6.0	9.0	12.0	0.0	3.0	16.0
TRINITY_DN1918_c0_g1_i3	74.0	20.3	12.0	0.0	7.0	46.0
TRINITY_DN105491_c0_g1_i1	0.0	0.0	12.0	1.0	3.0	2.0
TRINITY_DN18098_c0_g1_i2	0.0	1.0	12.0	7.0	4.0	1.0
TRINITY_DN1936_c1_g1_i2	0.0	0.0	11.6	1.5	2.0	1.0
TRINITY_DN3782_c0_g1_i2	0.0	0.0	11.4	0.0	0.0	0.0
TRINITY_DN1936_c1_g1_i1	2.0	0.0	11.4	1.5	1.0	0.0
TRINITY_DN12389_c0_g2_i2	3.0	1.0	11.0	0.0	0.0	0.0
TRINITY_DN25453_c1_g2_i1	0.0	1.0	11.0	0.0	2.0	1.0
TRINITY_DN89392_c0_g1_i1	0.0	2.0	11.0	9.0	1.0	1.0
TRINITY_DN975_c0_g1_i4	3.9	9.1	10.9	0.0	11.0	18.5
TRINITY_DN4439_c0_g2_i2	0.0	6.2	10.2	0.0	13.1	78.1
TRINITY_DN7727_c0_g1_i18	0.0	0.0	10.1	0.0	0.0	0.0
TRINITY_DN38738_c0_g1_i15	30.0	9.0	10.0	0.0	11.0	14.0
TRINITY_DN104355_c0_g1_i1	0.0	0.0	10.0	4.0	3.0	0.0
TRINITY_DN13688_c0_g1_i3	1.0	5.0	10.0	3.0	2.4	0.0
TRINITY_DN12907_c0_g2_i1	54.0	16.0	10.0	8.0	20.2	0.0
TRINITY_DN3460_c0_g1_i22	0.0	0.0	9.8	0.0	6.5	0.0
TRINITY_DN56875_c0_g1_i1	0.0	7.0	9.5	0.0	1.4	1.0
TRINITY_DN5036_c0_g1_i11	0.0	1.8	9.4	0.0	0.0	0.0
TRINITY_DN10818_c0_g1_i10	0.0	0.0	9.3	0.0	0.0	0.0
TRINITY_DN43270_c0_g2_i1	0.0	0.0	8.7	1.4	1.0	0.0
TRINITY_DN18098_c0_g1_i8	0.0	0.0	8.6	0.0	1.9	0.0
TRINITY_DN5036_c0_g1_i12	0.0	0.0	8.5	0.0	1.3	1.9
TRINITY_DN5921_c0_g1_i11	21.1	16.0	8.0	0.0	0.0	24.3
TRINITY_DN55230_c0_g1_i1	10.0	13.0	8.0	0.0	3.0	1.0
TRINITY_DN9535_c0_g1_i15	15.0	22.0	8.0	0.0	3.0	34.0
TRINITY_DN1918_c0_g1_i1	14.0	22.8	8.0	0.0	10.0	21.0
TRINITY_DN66764_c0_g1_i1	0.0	0.0	8.0	3.0	1.0	0.0
TRINITY_DN43263_c0_g1_i1	7.0	3.0	8.0	1.0	1.0	1.0
TRINITY_DN61555_c0_g1_i1	1.0	2.0	8.0	0.0	4.0	0.0
TRINITY_DN9571_c0_g1_i1	0.0	0.0	8.0	0.0	5.7	0.0
TRINITY_DN23499_c0_g1_i1	0.0	0.0	8.0	4.0	3.0	0.0
TRINITY_DN8077_c0_g1_i4	0.0	0.0	8.0	2.0	3.0	1.0
TRINITY_DN56820_c0_g1_i2	0.0	3.0	8.0	0.0	0.0	0.0
TRINITY_DN27502_c0_g1_i3	0.0	0.0	7.7	6.1	0.0	0.0
TRINITY_DN4747_c0_g1_i23	6.9	0.0	7.7	0.0	0.0	5.7
TRINITY_DN468_c0_g1_i9	44.0	46.6	7.6	0.0	11.5	7.7
TRINITY_DN3782_c0_g1_i34	2.7	108.0	7.2	0.0	8.5	1.0
TRINITY_DN9005_c0_g1_i1	0.6	1.7	7.1	0.0	0.0	0.9
TRINITY_DN8822_c0_g1_i17	40.3	34.5	7.1	0.0	15.5	88.9
TRINITY_DN22665_c0_g1_i2	13.6	14.1	7.0	0.0	4.5	11.1
TRINITY_DN75669_c0_g1_i1	0.0	0.0	7.0	2.0	0.0	0.0
TRINITY_DN134223_c0_g1_i1	0.0	1.0	7.0	0.0	0.0	0.0
TRINITY_DN132849_c0_g1_i1	1.0	3.0	7.0	2.0	2.0	0.0
TRINITY_DN45606_c0_g1_i1	0.0	7.0	7.0	0.0	3.0	0.0
TRINITY_DN22119_c0_g1_i7	0.0	0.0	7.0	2.0	0.0	0.0
TRINITY_DN36051_c0_g3_i1	0.0	2.0	7.0	0.0	2.0	0.0
TRINITY_DN33071_c0_g3_i1	0.0	0.0	7.0	3.0	0.0	0.0
TRINITY_DN54899_c0_g1_i1	1.0	2.0	7.0	1.0	3.0	0.0
TRINITY_DN8210_c0_g1_i11	0.0	20.6	7.0	0.0	5.0	0.0
TRINITY_DN4528_c0_g1_i1	0.0	3.9	6.7	0.0	0.0	0.0
TRINITY_DN4130_c0_g1_i19	7.5	20.2	6.2	0.0	1.1	94.0
TRINITY_DN25150_c0_g1_i2	5.0	7.0	6.0	0.0	6.0	5.8
TRINITY_DN5875_c0_g1_i7	14.0	17.0	6.0	0.0	9.0	25.0
TRINITY_DN8831_c0_g1_i1	8.0	23.0	6.0	0.0	7.0	66.0
TRINITY_DN106066_c0_g1_i1	0.0	0.0	6.0	1.0	1.0	1.0
TRINITY_DN12389_c0_g1_i1	0.0	1.0	6.0	1.0	0.0	1.0
TRINITY_DN24691_c0_g1_i1	0.0	0.0	6.0	1.0	0.0	0.0
TRINITY_DN28340_c0_g1_i2	0.0	0.0	6.0	0.0	1.0	0.0
TRINITY_DN54281_c1_g2_i1	3.0	3.0	6.0	0.0	3.0	0.0
TRINITY_DN48174_c0_g2_i1	0.0	0.0	6.0	0.0	2.0	0.0
TRINITY_DN16294_c0_g2_i1	0.0	0.0	6.0	1.0	0.0	1.0
TRINITY_DN54043_c0_g1_i2	0.0	3.0	6.0	0.0	3.0	0.0
TRINITY_DN41390_c0_g1_i3	0.0	0.0	6.0	1.0	0.0	0.0
TRINITY_DN12389_c1_g1_i1	1.0	0.0	6.0	0.0	0.0	0.0
TRINITY_DN59789_c0_g2_i1	0.0	2.0	6.0	0.0	3.0	0.0
TRINITY_DN6523_c0_g1_i9	0.0	0.0	5.9	0.0	0.0	0.0
TRINITY_DN7727_c0_g1_i45	30.0	0.0	5.8	0.0	0.0	16.7
TRINITY_DN5709_c0_g1_i4	2.7	0.0	5.8	0.0	0.0	0.0
TRINITY_DN14967_c0_g1_i1	2.0	1.0	5.7	2.5	0.0	0.0
TRINITY_DN2365_c0_g1_i19	6.0	7.2	5.6	0.0	0.0	0.0
TRINITY_DN20492_c1_g2_i1	4.0	2.0	5.5	0.0	0.0	4.0
TRINITY_DN3963_c0_g1_i2	0.0	2.0	5.5	0.0	0.0	0.0
TRINITY_DN23130_c0_g1_i8	26.3	23.2	5.4	0.0	2.1	48.8
TRINITY_DN468_c0_g1_i2	256.3	104.9	5.4	0.0	8.9	97.0
TRINITY_DN4528_c0_g1_i14	14.3	2.7	5.1	0.0	1.4	13.9
TRINITY_DN45406_c0_g1_i2	0.0	0.0	5.0	0.0	2.0	0.0
TRINITY_DN105235_c0_g1_i1	13.0	5.0	5.0	0.0	1.0	2.0
TRINITY_DN6288_c0_g1_i1	29.0	37.0	5.0	1.0	19.0	59.0
TRINITY_DN10640_c0_g1_i1	2.9	14.4	5.0	0.0	0.0	8.6
TRINITY_DN55352_c0_g1_i1	2.0	5.0	5.0	0.0	8.0	0.0
TRINITY_DN33912_c0_g4_i1	6.0	8.0	5.0	0.0	0.0	1.0
TRINITY_DN21273_c0_g1_i1	7.0	15.0	5.0	0.0	0.0	17.0
TRINITY_DN75645_c0_g1_i1	0.0	0.0	5.0	0.0	0.0	0.0
TRINITY_DN36625_c0_g4_i1	0.0	1.0	5.0	2.0	1.0	1.0
