OTU_ID	DNA1	DNA2	DNA3	Hp01	Hp02	Hp03	Hp04	Hp05	Hp06	Hp07	Hp08	Hp09	Hp10	Hp11	Hp12	Hp13	Hp14	Hp15	Hp16	Hp17	Hp18	Hp19	Hp20	Hp21	Hp22	Hp23	Hp24	Hp25	Hp26	Hp27	Hp28	Hp29	Hp30	Hp31	Hp32	Hp33	Hp34	Hp35	Hp36	Hp37	Hp38	Hp39	Hp40	Hp41	Hp42	Hp43	Hp44	Hp45	Hp46	Hp47	Hp48	Hp49	Hp50	Hp51	Hp52	Hp53	Hp54	Hp55	Hp56	Hp57	Hp58	Hp59	Hp60	Hp61	Hp62	Hp63	Hp64	Hp65	Hp66	Hp67	Hp68	Hp69	Hp70	Hp71	Hp72	Hp73	Hp74	Hp75	Hp76	Hp77	Hp78	Hp79	Hp80	Hp81	Hp82	Hp83	Hp84	Hp85	Hp86	Hp87	Hp88	Hp89
Zotu36	1	0	0	40	0	0	3	0	0	108	0	26	33	25	46	33	8	43	222	154	367	118	290	67	128	226	319	25	306	242	84	99	105	89	70	130	116	59	111	64	127	167	121	66	57	177	38	105	6	16	44	67	15	39	13	21	66	9	0	45	14	15	7	0	1	19	40	6	41	44	0	0	6	0	0	0	28	20	0	1	0	0	1	0	0	0	0	11	10	31	13	0
Zotu449	0	3	0	0	0	0	0	0	0	0	0	77	0	0	0	9	0	0	0	4	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu12	1	0	0	33	60	0	0	0	0	0	0	15	15	43	77	59	17	63	1381	969	1932	1149	1863	576	729	966	1540	156	1102	1082	439	539	550	64	62	56	78	60	118	65	67	124	130	48	16	123	40	86	22	29	46	42	5	43	13	12	58	31	10	69	19	9	29	0	4	8	8	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	4	3	4	0	11
Zotu530	0	6	0	0	2	0	0	64	0	13	0	0	0	0	1	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	3	0	0	1	0	0	0	10	0	0	0	4	1	0	2	0	0	0	0	0	33	16	0	0	2	0	0	0	0	3	21	0	11	0	0	0	3	27	5	3	8	0	0	0	0	0	2	0
Zotu2593	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu283	0	0	1	44	43	34	8	4	14	31	2	54	12	2	16	2	0	14	3	5	0	0	3	0	0	0	0	0	0	2	0	0	6	0	1	0	0	0	5	1	4	0	1	0	0	0	0	0	0	0	0	3	7	6	2	0	0	0	5	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	2	0	0	0	2
Zotu326	0	0	1	0	113	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2221	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1942	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	23	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3333	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	1	9	2	0	3	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	3	0	3	0	0	0	2	0	6	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2669	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu40	0	0	0	495	571	207	97	851	99	344	98	217	209	23	53	44	27	59	16	22	41	25	29	14	18	5	31	2	18	23	8	4	6	65	26	42	46	56	25	12	50	77	70	20	6	41	7	27	21	16	8	9	15	17	6	29	24	1	5	7	8	5	10	6	11	8	15	12	7	17	0	1	3	9	5	12	9	9	1	3	3	1	2	2	7	0	1	2	4	4	1	30
